,N,trial_length
../DATA/processed/016post_trial28.csv,2,5.496
../DATA/processed/023pre_trial19.csv,7,5.488
../DATA/processed/008pre_trial34.csv,6,5.492
../DATA/processed/002post_trial43.csv,7,5.488
../DATA/processed/001pre_trial13.csv,2,5.5
../DATA/processed/019post_trial44.csv,10,5.498
../DATA/processed/022pre_trial53.csv,6,5.492
../DATA/processed/001pre_trial33.csv,9,5.49
../DATA/processed/021post_trial57.csv,4,5.494
../DATA/processed/022post_trial22.csv,9,5.488
../DATA/processed/002pre_trial20.csv,6,5.498
../DATA/processed/025post_trial38.csv,9,5.488
../DATA/processed/007post_trial51.csv,9,5.496
../DATA/processed/023pre_trial36.csv,7,5.494
../DATA/processed/023post_trial48.csv,7,5.494
../DATA/processed/007pre_trial11.csv,5,5.498
../DATA/processed/009pre_trial53.csv,6,5.496
../DATA/processed/015pre_trial18.csv,9,5.5
../DATA/processed/001post_trial51.csv,3,5.492
../DATA/processed/026post_trial49.csv,7,5.492
../DATA/processed/013post_trial30.csv,3,5.49
../DATA/processed/016pre_trial46.csv,3,5.49
../DATA/processed/006post_trial37.csv,9,5.486
../DATA/processed/009post_trial5.csv,4,5.488
../DATA/processed/008post_trial47.csv,6,5.488
../DATA/processed/006post_trial43.csv,3,5.49
../DATA/processed/025pre_trial32.csv,15,5.488
../DATA/processed/022pre_trial3.csv,10,5.498
../DATA/processed/001pre_trial15.csv,8,5.492
../DATA/processed/007pre_trial25.csv,7,5.5
../DATA/processed/005post_trial19.csv,13,5.5
../DATA/processed/006post_trial18.csv,9,5.5
../DATA/processed/014pre_trial52.csv,2,5.498
../DATA/processed/020pre_trial14.csv,9,5.49
../DATA/processed/007post_trial18.csv,3,5.492
../DATA/processed/024pre_trial53.csv,6,5.49
../DATA/processed/006post_trial1.csv,4,5.49
../DATA/processed/014pre_trial0.csv,4,5.498
../DATA/processed/016post_trial45.csv,3,5.496
../DATA/processed/025pre_trial40.csv,9,5.5
../DATA/processed/003post_trial8.csv,2,5.488
../DATA/processed/007post_trial23.csv,6,5.494
../DATA/processed/005pre_trial27.csv,17,5.494
../DATA/processed/023pre_trial52.csv,8,5.49
../DATA/processed/019pre_trial5.csv,3,5.496
../DATA/processed/006pre_trial34.csv,8,5.492
../DATA/processed/014post_trial7.csv,8,5.488
../DATA/processed/002post_trial17.csv,4,5.498
../DATA/processed/016post_trial50.csv,2,5.496
../DATA/processed/008pre_trial50.csv,3,5.498
../DATA/processed/026pre_trial59.csv,12,5.49
../DATA/processed/019post_trial2.csv,4,5.49
../DATA/processed/026post_trial56.csv,3,5.488
../DATA/processed/025post_trial26.csv,9,5.498
../DATA/processed/015post_trial23.csv,9,5.496
../DATA/processed/016pre_trial4.csv,2,5.494
../DATA/processed/019pre_trial34.csv,11,5.5
../DATA/processed/001pre_trial48.csv,3,5.488
../DATA/processed/005pre_trial28.csv,18,5.498
../DATA/processed/025pre_trial3.csv,9,5.494
../DATA/processed/002post_trial49.csv,10,5.5
../DATA/processed/022post_trial15.csv,13,5.488
../DATA/processed/009post_trial46.csv,6,5.492
../DATA/processed/026pre_trial4.csv,12,5.488
../DATA/processed/001post_trial35.csv,4,5.5
../DATA/processed/005post_trial29.csv,15,5.49
../DATA/processed/013pre_trial55.csv,2,5.5
../DATA/processed/024pre_trial55.csv,24,5.5
../DATA/processed/015post_trial41.csv,18,5.488
../DATA/processed/022post_trial40.csv,11,5.49
../DATA/processed/023pre_trial18.csv,7,5.49
../DATA/processed/012post_trial54.csv,14,5.496
../DATA/processed/004post_trial11.csv,9,5.494
../DATA/processed/014pre_trial46.csv,16,5.492
../DATA/processed/009post_trial13.csv,5,5.492
../DATA/processed/023pre_trial15.csv,7,5.494
../DATA/processed/003post_trial31.csv,3,5.5
../DATA/processed/020pre_trial22.csv,12,5.496
../DATA/processed/024post_trial53.csv,7,5.496
../DATA/processed/012post_trial10.csv,1,5.5
../DATA/processed/002post_trial53.csv,9,5.49
../DATA/processed/023pre_trial40.csv,8,5.488
../DATA/processed/006post_trial45.csv,6,5.5
../DATA/processed/005post_trial53.csv,16,5.498
../DATA/processed/005post_trial10.csv,9,5.486
../DATA/processed/004post_trial20.csv,6,5.492
../DATA/processed/003pre_trial18.csv,5,5.494
../DATA/processed/007pre_trial42.csv,6,5.492
../DATA/processed/004post_trial41.csv,7,5.494
../DATA/processed/023pre_trial23.csv,8,5.496
../DATA/processed/014post_trial22.csv,7,5.5
../DATA/processed/019pre_trial39.csv,9,5.49
../DATA/processed/015post_trial34.csv,1,5.498
../DATA/processed/006pre_trial17.csv,6,5.496
